source,name,description,g0v_db_rows,owners,tags,github_repos,homepage
"awesome-g0v","台灣法院判決書可分享網址產生器",,,"ronnywang","開放資料,開放政府,法制與政府組織","ronnywang/judicial-easyer",https://github.com/ronnywang/judicial-easyer
"awesome-g0v","法規亦毒氣",,,"g0v","開放資料,開放政府,法制與政府組織","g0v/laweasyread-front,g0v/laweasyread",https://github.com/g0v/laweasyread-front
"awesome-g0v","貪污判決與查詢網站",,"241,230","superChing","開放資料,開放政府,法制與政府組織","superChing/extract_declared_sentence",https://github.com/superChing/extract_declared_sentence
"awesome-g0v","行政院法規線上諮詢系統",,,"g0v","開放資料,開放政府,法制與政府組織","g0v/vtaiwan.tw",https://github.com/g0v/vtaiwan.tw
"awesome-g0v","政府通訊錄分析器",,,"g0v","開放資料,開放政府,法制與政府組織","g0v/addressbook.parser",https://github.com/g0v/addressbook.parser
"awesome-g0v","公務人員出國考察追蹤網",,"104","g0v","開放資料,開放政府,法制與政府組織","g0v/abroadplay",https://github.com/g0v/abroadplay
"awesome-g0v","台灣內閣變化",,,"ronnywang","開放資料,開放政府,法制與政府組織","ronnywang/taiwan-cabinet",https://github.com/ronnywang/taiwan-cabinet
"awesome-g0v","中央政府總預算",,,"g0v","開放資料,開放政府,課責","g0v/twbudget",https://github.com/g0v/twbudget
"awesome-g0v","各年度各縣市總預算視覺",,,"kiang","開放資料,開放政府,課責","kiang/dgbas.gov.tw",https://github.com/kiang/dgbas.gov.tw
"awesome-g0v","立委聯絡資訊",,,"g0v","開放資料,開放政府,課責","g0v/ly-tel",https://github.com/g0v/ly-tel
"awesome-g0v","立委投票指南",,"160,138,81","g0v","開放資料,開放政府,課責","g0v/twly-voter-guide",https://github.com/g0v/twly-voter-guide
"awesome-g0v","2016大選區域立委圖",,,"tommy87166","開放資料,開放政府,課責","tommy87166/tommy87166.github.io",https://github.com/tommy87166/tommy87166.github.io
"awesome-g0v","台灣各種組織不推薦立委名單",,,"soidid","開放資料,開放政府,課責","soidid/soidid.github.io",https://github.com/soidid/soidid.github.io
"awesome-g0v","台灣選舉黃頁",,,"kiang","開放資料,開放政府,課責","kiang/elections",https://github.com/kiang/elections
"awesome-g0v","政黨票計算機",,,"g0v","開放資料,開放政府,課責","g0v/partyvote2016",https://github.com/g0v/partyvote2016
"awesome-g0v","國會大代誌",,"447","g0v","開放資料,開放政府,課責","g0v/ly.g0v.tw",https://github.com/g0v/ly.g0v.tw
"awesome-g0v","立法卡到陰",,,"frank00125","開放資料,開放政府,課責","frank00125/wp2014s_final_project",https://github.com/frank00125/wp2014s_final_project
"awesome-g0v","立院影城",,,"g0v","開放資料,開放政府,課責","g0v/ivod.ly.g0v.tw",https://github.com/g0v/ivod.ly.g0v.tw
"awesome-g0v","2014九合一選舉開票結果",,,"ctiml","開放資料,開放政府,課責","ctiml/vote2014,ronnywang/vote2014",https://github.com/ctiml/vote2014
"awesome-g0v","50天50張選舉圖表",,,"g0v","開放資料,開放政府,課責","g0v/5050,g0v/d3visualization",https://github.com/g0v/5050
"awesome-g0v","民代地圖",,,"g0v","開放資料,開放政府,課責","g0v/mapView",https://github.com/g0v/mapView
"awesome-g0v","選票成份分析系統",,"170,145,130,98,82,71,13","g0v","開放資料,開放政府,課責","g0v/congress-vote-analytics",https://github.com/g0v/congress-vote-analytics
"awesome-g0v","金錢報",,,"g0v","開放資料,開放政府,課責","g0v/sunshine.cy,fuyei/cf-viz,chungheng/g0v,ronnywang/campaign-finance.g0v.ronny.tw,ronnywang/tw-campaign-finance,ctiml/campaign-finance.g0v.ctiml.tw",https://github.com/g0v/sunshine.cy
"awesome-g0v","議員投票指南",,"160,138,81","g0v","開放資料,開放政府,課責","g0v/councilor-voter-guide",https://github.com/g0v/councilor-voter-guide
"awesome-g0v","2014台北市議員參選人",,,"councilor2014","開放資料,開放政府,課責","councilor2014/councilor2014.github.io",https://github.com/councilor2014/councilor2014.github.io
"awesome-g0v","台南市議會 議員觀測中心",,,"kiang","開放資料,開放政府,課責","kiang/tncc",https://github.com/kiang/tncc
"awesome-g0v","政治承諾追蹤網",,"253,223,211","g0v","開放資料,開放政府,課責","g0v/ppt",https://github.com/g0v/ppt
"awesome-g0v","台灣隨機統計",,,"g0v","開放資料,開放政府,政府運作","g0v/twstat",https://github.com/g0v/twstat/
"awesome-g0v","公有地大行動 Publicly Owned Property on Fire",,,"g0v","開放資料,開放政府,政府運作","g0v/POPonFire",https://github.com/g0v/POPonFire
"awesome-g0v","台北市公有地資料與地圖 Publicly Owned Property",,,"dz1984","開放資料,開放政府,政府運作","dz1984/taipei-pop",https://github.com/dz1984/taipei-pop
"awesome-g0v","台北市建管處建照記錄",,,"cades","開放資料,開放政府,政府運作","cades/taipei-building-has-reward",https://github.com/cades/taipei-building-has-reward
"awesome-g0v","台灣地址門牌查詢",,,"g0v","開放資料,開放政府,政府運作","g0v/TWDoorplates",https://github.com/g0v/TWDoorplates
"awesome-g0v","台灣行政區視覺化",,,"g0v","開放資料,開放政府,政府運作","g0v/twgeojson",https://github.com/g0v/twgeojson
"awesome-g0v","地址轉經緯度",,,"ronnywang","開放資料,開放政府,政府運作","ronnywang/taiwan-address-lookup",https://github.com/ronnywang/taiwan-address-lookup
"awesome-g0v","政府開放資料平臺備份",,,"ronnywang","開放資料,開放政府,政府運作","ronnywang/data.g0v.ronny.tw",https://github.com/ronnywang/data.g0v.ronny.tw
"awesome-g0v","開放資料建立與普查",,,"g0v","開放資料,開放政府,政府運作","g0v/local.data",https://github.com/g0v/local.data
"awesome-g0v","NGO list retreieved from judicial.gov.tw.",,,"g0v","開放資料,開放政府,政府運作","g0v/foundationtw",https://github.com/g0v/foundationtw
"awesome-g0v","植物疫情與藥劑查詢系統",,,"g0v","開放資料,開放政府,公共安全","g0v/agriculture",https://github.com/g0v/agriculture
"awesome-g0v","零時空污觀測網",,"343","immortalmice","開放資料,開放政府,公共安全","immortalmice/Real-time-Air-Quality-Map",https://github.com/immortalmice/Real-time-Air-Quality-Map
"awesome-g0v","環境儀表板",,"76","g0v","開放資料,開放政府,公共安全","g0v/env.g0v.tw",https://github.com/g0v/env.g0v.tw
"awesome-g0v","賽豬公上太空",,,"jimyhuang","開放資料,開放政府,公共安全","jimyhuang/twlandsat-browse",https://github.com/jimyhuang/twlandsat-browse
"awesome-g0v","車禍熱點",,"242","Drainet","開放資料,開放政府,公共安全,公營服務","Drainet/cacci-opendata",https://github.com/Drainet/cacci-opendata
"awesome-g0v","路見不平",,"37","g0v","開放資料,開放政府,公營服務","g0v/roadpin",https://github.com/g0v/roadpin
"awesome-g0v","國道一號電子收費價錢試算",,,"zbryikt","開放資料,開放政府,公營服務","zbryikt/visualize",https://github.com/zbryikt/visualize
"awesome-g0v","台中市公車地圖",,,"g0v","開放資料,開放政府,公營服務","g0v/tcbus",https://github.com/g0v/tcbus
"awesome-g0v","台北捷運各站出站人數變化圖",,,"zbryikt","開放資料,開放政府,公營服務","zbryikt/visualize",https://github.com/zbryikt/visualize/tree/gh-pages/mrt
"awesome-g0v","Cancer 台灣癌症資料專案",,,"g0v","開放資料,開放政府,公營服務","g0v/cancer",https://github.com/g0v/cancer
"awesome-g0v","福利請聽",,"35","g0v","開放資料,開放政府,公營服務","g0v/listening",https://github.com/g0v/listening
"awesome-g0v","台灣村里家戶用電量",,,"ronnywang","開放資料,開放政府,公營服務","ronnywang/ecolife.epa.gov.tw",https://github.com/ronnywang/ecolife.epa.gov.tw
"awesome-g0v","台灣鉛管分佈地圖",,,"kiang","開放資料,開放政府,公營服務","kiang/lead_pipes",https://github.com/kiang/lead_pipes
"awesome-g0v","全國醫院急診即時看板",,,"g0v","開放資料,開放政府,公營服務","g0v/er.mohw",https://github.com/g0v/er.mohw
"awesome-g0v","高雄地下管線地圖",,,"zbryikt","開放資料,開放政府,公營服務","zbryikt/visualize",https://github.com/zbryikt/visualize
"awesome-g0v","飲水地圖",,,"teia-tw","開放資料,開放政府,公營服務","teia-tw/drinking_water",https://github.com/teia-tw/drinking_water
"awesome-g0v","都委會會議紀錄資料庫",,,"g0v","開放資料,開放政府,公營服務","g0v/urbancode-commission",https://github.com/g0v/urbancode-commission
"awesome-g0v","國臺對照活用辭典",,,"g0v","開放資料,開放政府,公營服務","g0v/koktai",https://github.com/g0v/koktai
"awesome-g0v","新台語·運動",,,"g0v","開放資料,開放政府,公營服務","g0v/itaigi",https://github.com/g0v/itaigi
"awesome-g0v","萌典網站及應用程式",,,"g0v","開放資料,開放政府,公營服務","g0v/moedict-app",https://github.com/g0v/moedict-app
"awesome-g0v","教育部重編國語辭典 資料檔",,,"g0v","開放資料,開放政府,公營服務","g0v/moedict-data",https://github.com/g0v/moedict-data
"awesome-g0v","臺灣閩南語常用詞辭典 資料檔",,,"g0v","開放資料,開放政府,公營服務","g0v/moedict-data-twblg",https://github.com/g0v/moedict-data-twblg
"awesome-g0v","臺灣客家語常用詞辭典 資料檔",,,"g0v","開放資料,開放政府,公營服務","g0v/moedict-data-hakka",https://github.com/g0v/moedict-data-hakka
"awesome-g0v","中華語文知識庫 資料檔",,,"g0v","開放資料,開放政府,公營服務","g0v/moedict-data-csld",https://github.com/g0v/moedict-data-csld
"awesome-g0v","萌典閃卡",,,"g0v","開放資料,開放政府,公營服務","g0v/moedict-dodo",https://github.com/g0v/moedict-dodo
"awesome-g0v","零時字引",,,"g0v","開放資料,開放政府,公營服務","g0v/z0y",https://github.com/g0v/z0y
"awesome-g0v","阿美語萌典",,"643,568,556,525,485,468,451,418,407,383,313,285,260,169","g0v","開放資料,開放政府,公營服務","g0v/moedict-app,miaoski/amis-safolu,miaoski/amis-francais",https://github.com/g0v/moedict-app/tree/amis
"awesome-g0v","萌典字宙反應爐",,,"audreyt","開放資料,開放政府,公營服務","audreyt/moe",https://github.com/audreyt/moe
"awesome-g0v","國科會計畫補助學校金額",,,"g0v","開放資料,開放政府,公營服務","g0v/nsc-projects",https://github.com/g0v/nsc-projects
"awesome-g0v","勞工薪資預算程式",,,"kiang","開放資料,開放政府,經濟活動","kiang/salary",https://github.com/kiang/salary
"awesome-g0v","69K薪水工作查詢",,,"g0v","開放資料,開放政府,經濟活動","g0v/i69",https://github.com/g0v/i69/
"awesome-g0v","求職小幫手",,"467","ronnywang","開放資料,開放政府,經濟活動","ronnywang/jobhelper,nansenat16/jobhelper-mobile,yisheng-liu/jobhelper_ff,nansenat16/jobhelper-ie",https://github.com/ronnywang/jobhelper
"awesome-g0v","你被服貿了嗎？",,"50","g0v","開放資料,開放政府,經濟活動","g0v/tisa-map",https://github.com/g0v/tisa-map
"awesome-g0v","自經區立法辯論比較表",,,"fepztw","開放資料,開放政府,經濟活動","fepztw/fepztw.github.io",https://github.com/fepztw
"awesome-g0v","開放標案",,,"mlwmlw","開放資料,開放政府,經濟活動","mlwmlw/pcc",https://github.com/mlwmlw/pcc
"awesome-g0v","台灣公司登記資料",,,"ronnywang","開放資料,開放政府,經濟活動","ronnywang/twcompany",https://github.com/ronnywang/twcompany
"awesome-g0v","台灣公司關係圖",,,"ronnywang","開放資料,開放政府,經濟活動","ronnywang/company-graph",https://github.com/ronnywang/company-graph
"awesome-g0v","台灣社團(財團)法人資料檢索",,,"g0v","開放資料,開放政府,經濟活動","g0v/foundationtw",https://github.com/g0v/foundationtw
"awesome-g0v","國民黨黨產地圖",,,"billy3321","開放資料,開放政府,經濟活動","billy3321/billy3321.github.io",https://github.com/billy3321/billy3321.github.io
"awesome-g0v","農作物開放資料",,"277","a0726h77","開放資料,開放政府,經濟活動","a0726h77/open_crops",https://github.com/a0726h77/open_crops
"awesome-g0v","農學地圖",,"14","g0v","開放資料,開放政府,經濟活動","g0v/farmer",https://github.com/g0v/farmer/
"awesome-g0v","小農故事",,,"g0v","開放資料,開放政府,經濟活動","g0v/farmers",https://github.com/g0v/farmers
"awesome-g0v","固定污染源管制地圖",,,"kiang","開放資料,開放政府,經濟活動","kiang/chimney_map",https://github.com/kiang/chimney_map
"awesome-g0v","分身伐樹",,,"unknown","開放資料,開放政府,經濟活動",,https://sheethub.com
"awesome-g0v","616 憲在關鍵三步驟「打。道。掛。」",,,"junsuwhy","社會參與","junsuwhy/ly-tel",https://github.com/junsuwhy/ly-tel
"awesome-g0v","三動作護台灣",,,"chilijung","社會參與","chilijung/ly-tel",https://github.com/chilijung/ly-tel
"awesome-g0v","小蜜蜂戰鬥地圖",,,"g0v","社會參與","g0v/LittleBeeGeo",https://github.com/g0v/LittleBeeGeo
"awesome-g0v","網站抵制小幫手",,,"zhusee2","社會參與","zhusee2/boycott-helper",https://github.com/zhusee2/boycott-helper
"awesome-g0v","Bad Driver",,,"g0v","社會參與","g0v/BadDriver.tw",https://github.com/g0v/BadDriver.tw
"awesome-g0v","BatDrone",,,"kevinphys","社會參與","kevinphys/BatDrone",https://github.com/kevinphys/BatDrone
"awesome-g0v","iHelp 聾通訊",,,"weitsai","社會參與","weitsai/iHelp-android",https://github.com/weitsai/iHelp-android
"awesome-g0v","Pet Need Me",,"91,75","jsleetw","社會參與","jfsleetw/petneed.me",https://github.com/jsleetw/petneed.me
"awesome-g0v","好食市集",,,"g0v","社會參與","g0v/howsfood-mockup",https://github.com/g0v/howsfood-mockup
"awesome-g0v","維基百科挑錯字工具",,,"g0v","社會參與","g0v/typo-resolver",https://github.com/g0v/typo-resolver
"awesome-g0v","割闌尾小遊戲",,,"g0v","社會參與","g0v/projectV",https://github.com/g0v/projectV
"awesome-g0v","i64885 公益律師呼叫平台",,,"g0v","社會參與","g0v/i64885",https://github.com/g0v/i64885
"awesome-g0v","救救食蛇龜",,,"g0v","社會參與","g0v/cuora",https://github.com/g0v/cuora
"awesome-g0v","G8V電視牆",,,"a0000778","新媒體","a0000778/g8v",https://github.com/a0000778/g8v
"awesome-g0v","InLiveTW",,"166,137","inLiveTW","新媒體","inLiveTW/server",https://github.com/inLiveTW
"awesome-g0v","MOVEMENT 社會運動資訊平台",,,"4movement","新媒體","4movement/MOVEMENT",https://github.com/4movement
"awesome-g0v","NewsDiff 官方新聞稿異動情況站",,,"ronnywang","新媒體","ronnywang/newsdiff",https://github.com/ronnywang/newsdiff
"awesome-g0v","太陽花學運全記錄",,,"g0v","新媒體","g0v/sunflower",https://github.com/g0v/sunflower
"awesome-g0v","物資管理平台系統",,,"bifrostio","新媒體","bifrostio/bifrost",https://github.com/bifrostio
"awesome-g0v","虎神快閃",,,"ddio","新媒體","ddio/MuscidaeFlash",https://github.com/ddio/MuscidaeFlash
"awesome-g0v","政誌",,"47","g0v","新媒體","g0v/twangry",https://github.com/g0v/twangry
"awesome-g0v","站聲",,,"jcsky","新媒體","jcsky/Solveissues",https://github.com/jcsky/Solveissues
"awesome-g0v","問題電視節目查詢",,,"godgunman","新媒體","godgunman/ncc-complain-data",https://github.com/godgunman/ncc-complain-data
"awesome-g0v","新聞詞頻統計",,,"youchenlee","新媒體","youchenlee/news-seg",https://github.com/youchenlee/news-seg
"awesome-g0v","新聞趨勢統計",,,"ronnywang","新媒體","ronnywang/newstrend.g0v.ronny.tw",https://github.com/ronnywang/newstrend.g0v.ronny.tw
"awesome-g0v","資訊補食獸",,,"lanfon72","新媒體","lanfon72/linkCollector",https://github.com/lanfon72/linkCollector/
"awesome-g0v","LagNews 腿新聞",,,"ronnywang","新媒體","ronnywang/lagnews",https://github.com/ronnywang/lagnews
"awesome-g0v","公眾人物關係圖產生器",,"18,8","zbryikt","新媒體","zbryikt/ppllink",https://github.com/zbryikt/ppllink
"awesome-g0v","公民記者證產生器",,,"g0v","新媒體","g0v/reporter",https://github.com/g0v/reporter
"awesome-g0v","新聞小幫手",,"406,45","g0v","新媒體","g0v/newshelper-backend,g0v/newshelper-extension,yllan/newshelper-safari",https://github.com/g0v/newshelper-backend

"g0v_db","0 時動議 LINK TOPIC",,"3","clkao,kcwu,hychen","媒體",,
"g0v_db","11/9 Summit unconference懶人包",,"156","ipa","g0v Summit",,"https://g0v.hackpad.com/unconference--UQVESB4TJm3"
"g0v_db","2015 WWViews ＠ TW 跨國審議/投票系統專案",,"232","家華","環境",,"https://g0v.hackpad.com/2015-WWViews-TW--W6l1GtZ3l1A"
"g0v_db","2015 summer of ?",,"206","Ly","法律",,"https://speakerdeck.com/yhsiang/2015-summer-of"
"g0v_db","2016 總統大選承諾一覽表",,"274,252","MrOrz","監督,政治",,"http://beta.hackfoldr.org/president2016-folder"
"g0v_db","2018縣市長選舉地圖",,"473","積木","政治,選舉,地圖",,"https://hackmd.io/GwDghgJhCmEKwFpogsBAWAzHaCCcATCAOwIAMeYARnAIwTHrpUBmQA=="
"g0v_db","2020投票指南",,"594","邦宇","選舉,政治",,"https://www.figma.com/file/JUzNk4lDjWAKiHea6vH9lfxF/%E6%8A%95%E7%A5%A8%E6%8C%87%E5%8D%97?node-id=500%3A192"
"g0v_db","228事件資料掃描檔文字化",,"515","紅雨","轉型正義",,"https://hackmd.io/GYU0UFBSRaqLsn16uGhkgA"
"g0v_db","404兒少協尋專案",,"27","ctf","兒少",,"https://docs.google.com/document/d/1DmBXSmYh1knJk6U3zP5T_6QAWa6AhNXosVi0ENydzdQ/edit"
"g0v_db","404失蹤兒童協尋計畫",,"16","ET Blue","兒少",,"https://github.com/g0v/dev/wiki/Project-ChildNotFound.tw"
"g0v_db","64995公益律師呼叫系統",,"42","Isabel","法律",,
"g0v_db","ARThon",,"557","李紫彤","待確認",,
"g0v_db","Akoma Ntoso台灣在地化計畫",,"427","雨蒼","法律,國會",,"https://hackmd.io/EYZgZgxgjATAHAFgLQgSArEhBOAbBJAQzF0KRnXQFMAGOGBGgdioSA==?view"
"g0v_db","BBC 拍攝",,"592","BBC","媒體,紀錄",,
"g0v_db","BatDrone（婦幼治安犯罪危險地點提醒、監測）",,"262","kevinphy","兒少",,"https://g0v.hackpad.com/BatDrone--BB8UPY6SPCD"
"g0v_db","Build Great Bridges Around Taiwan (BGBAT)",,"419","Jane 汪","政策",,"http://tinyurl.com/bgbatpdfjune"
"g0v_db","CC0 繁中語料 & Common Voice 語音庫 omt: 代名詞貼紙",,"609","Irvin","待確認",,"slack #rand0m"
"g0v_db","COSCUP野生官網",,"235","ETBlue","開放文化",,"https://g0v.hackpad.com/COSCUP-2015--WxxpYVpXOWA"
"g0v_db","Child Not Found",,"4","ETBlue,?","兒少",,
"g0v_db","Children Image",,"99","小天","兒少",,"https://docs.google.com/document/d/1znrHAtJEdW3mMX3pN2n60nYjbPsDCIuldgDi8FoPWKI/edit"
"g0v_db","Code for Japan(Nanto) 開放資料新手村桌遊中文版",,"474","子魚","待確認",,"https://g0v.hackpad.tw/Code-for-JapanNanto--qIrL0tB5POF"
"g0v_db","DAOJO 道場",,"499","nchild","待確認",,"https://g0v.hackpad.tw/daojo"
"g0v_db","Data + Design 資料＋設計 正體中文版翻譯",,"264","nchild","翻譯",,"bit.ly/data-design-zh"
"g0v_db","Dear Airlines",,"523","Sleep No More","待確認",,"http://x.co/aircn"
"g0v_db","Debater 編輯小幫手 browser plugin",,"333","ETBlue","工具",,"https://g0v.hackpad.com/Debater--vjeJIZ8onSY"
"g0v_db","Emoji再來一次之送素還真進Unicode",,"365","Bobby Tung","藝術,工具",,"https://g0v.hackpad.com/Emoji-YPkxkHyGz97"
"g0v_db","Excel 小工具",,"303","ronny","工具",,"https://g0v.hackpad.com/Excel--jkpco57DjJH"
"g0v_db","FB帳號陣亡者聯盟",,"452","Even","待確認",,"https://hackmd.io/OwNgLAzMCM0KYFoAMSCcIFgGYmgghrBAhACapb4AcWVAxhKkkA"
"g0v_db","Foodsharing Taiwan - foodsharing tool",,"422","Stefan Simon","剩食",,"https://www.facebook.com/foodsharingtaiwan"
"g0v_db","GroovIM",,"17","Mindos","待確認",,"https://hackpad.com/DBKDLhwKiA4"
"g0v_db","Guild Wars 2 Inventory",,"293","ETBlue","工具",,"https://g0v.hackpad.com/Guild-Wars-2-Inventory-NcrQirRU18O"
"g0v_db","HackMD UI/UX 改善案",,"350","jackycute","工具",,"http://youtu.be/BGvr-s3EDKI"
"g0v_db","HackStory",,"381","劉李","媒體",,"https://g0v.hackpad.com/HackStory-6svktTYKVLb"
"g0v_db","HackStory共筆時間軸",,"379","劉李(night17x)","媒體",,"https://g0v.hackpad.com/HackStory-6svktTYKVLb"
"g0v_db","HackingMap DEMO",,"481","unknown","待確認",,"https://g0v.github.io/HackingMap"
"g0v_db","Herstory in East Asia / 東亞女權運動時間地圖",,"640","ael","待確認",,"https://g0v.hackmd.io/EYSWYz8ZRB2oN6RHrVNf5g?both"
"g0v_db","How Well Do You Know About China?",,"489","Brian","待確認",,
"g0v_db","ICO 資訊揭露平台",,"537","GITA","待確認",,"https://g0v.hackpad.tw/ICO-transparency-platform-TqFhFwXrI4h"
"g0v_db","InternLens 實習透視鏡，全台最透明的實習資訊平台",,"401","kjohn","勞動",,"https://quip.com/jUL9AOFMHDST"
"g0v_db","IoT 空污偵測",,"259","miaoski","環境,空汙",,"https://g0v.hackpad.com/IoT-DIY-B1xkj9fUqqH"
"g0v_db","IssueTaiwan 台灣好問題",,"271","nicky","監督",,"https://g0v.hackpad.com/IssueTaiwan--OCelk22n02v"
"g0v_db","JSonView(Android快速開發OPenData)",,"430","Hsu Weiyen","工具",,"goo.gl/EfyZ5n"
"g0v_db","Kialo 台灣政治迷你維基百科",,"615","allenlinli","待確認",,"https://g0v.hackpad.tw/Ptt--ctwZwU7BxcJ"
"g0v_db","LINE BOT 市容幫手",,"606","Pamela","待確認",,"https://beta.hackfoldr.org/cityscape_helper"
"g0v_db","M Project",,"188","a0kman","待確認",,"http://hackfoldr.org/mproject"
"g0v_db","MT7688",,"290","Mindos","待確認",,
"g0v_db","Mozilla Common Voice 語音資料庫收集",,"553","Irvin","開放資料",,"https://moztw.hackpad.tw/Common-Voice-g0v33"
"g0v_db","NPO Lab 公益實驗室",,"226","Kenny","NPO lab",,"https://docs.google.com/document/d/1rKRk4ZL8ROpjeS23006tt61a71jJezbwPSIuEY8jOrY/edit?usp=sharing"
"g0v_db","NT01 地球上的夢幻逸品線上型錄",,"601","cotton","環境",,
"g0v_db","News Diff 來看看新聞改過了沒?",,"41","ronnywang","媒體",,"https://github.com/ronnywang/newsdiff"
"g0v_db","Open Source Guide 翻譯坑",,"462","TypingMonkey","待確認",,"https://g0v.hackpad.tw/g0v-shadow-ta138sdLdND"
"g0v_db","PTT.ai",,"558","Lilian / 老蕭 / Sam","待確認",,"https://github.com/ailabstw/go-pttai"
"g0v_db","People Watch",,"30","snowmantw","媒體",,
"g0v_db","Positive Coin 帕斯堤貨幣",,"612","李紫彤","待確認",,"https://hackmd.io/@Ntwa8442Sl6UiFDk6420VQ/B1aUq2cQS"
"g0v_db","Ptt 不能亡：社群機制重構與降低使用者進入門檻",,"649,616,583","祖儀,okcool","社群媒體",,"https://g0v.hackpad.tw/Ptt--ctwZwU7BxcJ"
"g0v_db","Rentea 設計給租屋者的開源找屋工具",,"596,575","克羅依,ddio","生活,工具",,"https://g0v.hackmd.io/Bv_1JeHoT1O8gIjFBEJROg"
